labels,start,stop
speech,0.00,3.16
music,3.16,618.16
speech,618.16,620.86
music,620.86,1139.94
noise,1139.94,1144.16
music,1144.16,1155.52
noise,1155.52,1159.60
music,1159.60,1175.64
speech,1175.64,1185.72
music,1185.72,1222.48
noise,1222.48,1226.02
music,1226.02,1231.32
speech,1231.32,1236.36
music,1236.36,1292.56
noise,1292.56,1297.44
music,1297.44,1353.52
speech,1353.52,1358.38
music,1358.38,1409.54
speech,1409.54,1413.04
music,1413.04,1468.62
noise,1468.62,1473.76
music,1473.76,1477.38
noise,1477.38,1485.56
music,1485.56,1784.06
speech,1784.06,1787.82
music,1787.82,1797.40
noise,1797.40,1808.04
music,1808.04,1815.26
noise,1815.26,1818.50
music,1818.50,2010.66
speech,2010.66,2012.10
noise,2012.10,2016.52
music,2016.52,2032.44
speech,2032.44,2036.08
music,2036.08,2048.40
noise,2048.40,2050.52
music,2050.52,2124.58
noise,2124.58,2126.22
music,2126.22,2132.42
speech,2132.42,2137.28
music,2137.28,2291.88
speech,2291.88,2297.66
music,2297.66,2504.30
speech,2504.30,2519.72
music,2519.72,2569.30
noise,2569.30,2577.78
music,2577.78,2624.68
noise,2624.68,2627.80
music,2627.80,2654.80
speech,2654.80,2658.92
music,2658.92,2661.88
noise,2661.88,2663.88
speech,2663.88,2668.34
noise,2668.34,2673.78
speech,2673.78,2688.12
noise,2688.12,2692.12