,Source,Target,Ratio
1,Music,Music,13.17
2,Music,expression,10.97
3,expression,Music,9.90
4,S-Speech,Music,8.07
5,expression,S-Speech,7.34
6,S-Speech,expression,6.54
7,Music,S-Speech,6.34
8,expression,expression,5.67
9,Music,technique,4.00
10,S-Speech,S-Speech,3.87
11,technique,Music,3.67
12,technique,S-Speech,3.67
13,S-Speech,technique,3.20
14,other,S-Speech,2.63
15,S-Speech,other,2.07
16,Music,other,1.83
17,technique,technique,1.80
18,other,Music,1.40
19,other,other,0.60
20,piece,S-Speech,0.60
21,S-Speech,piece,0.53
22,Music,piece,0.47
23,expression,technique,0.37
24,piece,Music,0.37
25,technique,expression,0.27
26,expression,other,0.17
27,technique,other,0.10
28,other,technique,0.10
29,expression,piece,0.07
30,piece,piece,0.07
31,other,expression,0.07
32,piece,expression,0.07
33,piece,technique,0.03